Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,Total_Sales,Profit,Return_Flag,Customer_Frequency,Monetary,Recency,Discount (%),Shipping_Cost,Customer_Segment
489436,22119, PEACE WOODEN BLOCK LETTERS,3,12/1/2009 9:06,6.95,13078,United Kingdom,20.85,4.17,0,93,28049.6,3,6.08,4.58,High Value
489436,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,12/1/2009 9:06,1.45,13078,United Kingdom,17.4,3.48,0,93,28049.6,3,10.5,4.09,High Value
489436,22296,HEART IVORY TRELLIS LARGE,12,12/1/2009 9:06,1.65,13078,United Kingdom,19.8,3.96,0,93,28049.6,3,8.64,4.26,High Value
489436,22295,HEART FILIGREE DOVE LARGE,12,12/1/2009 9:06,1.65,13078,United Kingdom,19.8,3.96,0,93,28049.6,3,5.82,3.09,High Value
489436,22109,FULL ENGLISH BREAKFAST PLATE,16,12/1/2009 9:06,3.39,13078,United Kingdom,54.24,10.848,0,93,28049.6,3,12.24,2.16,High Value
489436,22107,PIZZA PLATE IN BOX,4,12/1/2009 9:06,3.75,13078,United Kingdom,15,3,0,93,28049.6,3,2.79,2.34,High Value
489436,22194,BLACK DINER WALL CLOCK,2,12/1/2009 9:06,8.5,13078,United Kingdom,17,3.4,0,93,28049.6,3,5.84,2.1,High Value
489436,35004B,SET OF 3 BLACK FLYING DUCKS,12,12/1/2009 9:06,4.65,13078,United Kingdom,55.8,11.16,0,93,28049.6,3,7.33,3.67,High Value
489436,82582,AREA PATROLLED METAL SIGN,12,12/1/2009 9:06,2.1,13078,United Kingdom,25.2,5.04,0,93,28049.6,3,9.12,2.85,High Value
489436,21181,PLEASE ONE PERSON  METAL SIGN,12,12/1/2009 9:06,2.1,13078,United Kingdom,25.2,5.04,0,93,28049.6,3,15.7,4.83,High Value
489436,21756,BATH BUILDING BLOCK WORD,3,12/1/2009 9:06,5.95,13078,United Kingdom,17.85,3.57,0,93,28049.6,3,3.99,2.18,High Value
489436,21333,CLASSIC WHITE FRAME,6,12/1/2009 9:06,2.95,13078,United Kingdom,17.7,3.54,0,93,28049.6,3,10.28,3.66,High Value
489436,84596F,SMALL MARSHMALLOWS PINK BOWL,8,12/1/2009 9:06,1.25,13078,United Kingdom,10,2,0,93,28049.6,3,11.85,2.88,High Value
489436,84596L,BISCUITS SMALL BOWL LIGHT BLUE,8,12/1/2009 9:06,1.25,13078,United Kingdom,10,2,0,93,28049.6,3,0.93,4.11,High Value
489436,22111,SCOTTIE DOG HOT WATER BOTTLE,24,12/1/2009 9:06,4.25,13078,United Kingdom,102,20.4,0,93,28049.6,3,12.15,4.21,High Value
489437,22143,CHRISTMAS CRAFT HEART DECORATIONS,6,12/1/2009 9:08,2.1,15362,United Kingdom,12.6,2.52,0,2,613.08,443,3.41,3.43,Low Value
489437,22145,CHRISTMAS CRAFT HEART STOCKING ,6,12/1/2009 9:08,2.1,15362,United Kingdom,12.6,2.52,0,2,613.08,443,1.3,3.63,Low Value
489437,22130,PARTY CONE CHRISTMAS DECORATION ,12,12/1/2009 9:08,0.85,15362,United Kingdom,10.2,2.04,0,2,613.08,443,18.98,3.88,Low Value
489437,21364,PEACE SMALL WOOD LETTERS,2,12/1/2009 9:08,6.75,15362,United Kingdom,13.5,2.7,0,2,613.08,443,19.31,3.36,Low Value
489437,21360,JOY LARGE WOOD LETTERS,1,12/1/2009 9:08,9.95,15362,United Kingdom,9.95,1.99,0,2,613.08,443,16.17,2.53,Low Value
489437,21351,CINAMMON & ORANGE WREATH,2,12/1/2009 9:08,6.75,15362,United Kingdom,13.5,2.7,0,2,613.08,443,6.09,4.93,Low Value
489437,21352,EUCALYPTUS & PINECONE  WREATH,2,12/1/2009 9:08,6.75,15362,United Kingdom,13.5,2.7,0,2,613.08,443,1.95,3.43,Low Value
489437,35400,WOODEN BOX ADVENT CALENDAR ,2,12/1/2009 9:08,8.95,15362,United Kingdom,17.9,3.58,0,2,613.08,443,13.68,2.89,Low Value
489437,20695,FLORAL BLUE MONSTER,3,12/1/2009 9:08,4.25,15362,United Kingdom,12.75,2.55,0,2,613.08,443,8.8,2.29,Low Value
489437,37370,RETRO COFFEE MUGS ASSORTED,12,12/1/2009 9:08,1.25,15362,United Kingdom,15,3,0,2,613.08,443,2.44,3.28,Low Value
489437,10002,INFLATABLE POLITICAL GLOBE ,12,12/1/2009 9:08,0.85,15362,United Kingdom,10.2,2.04,0,2,613.08,443,9.9,2.7,Low Value
489437,84507B,STRIPES DESIGN MONKEY DOLL,6,12/1/2009 9:08,2.55,15362,United Kingdom,15.3,3.06,0,2,613.08,443,0.69,3.26,Low Value
489437,20703,BLUE PADDED SOFT MOBILE,3,12/1/2009 9:08,4.25,15362,United Kingdom,12.75,2.55,0,2,613.08,443,18.19,2.42,Low Value
489437,21987,PACK OF 6 SKULL PAPER CUPS,12,12/1/2009 9:08,0.65,15362,United Kingdom,7.8,1.56,0,2,613.08,443,5.18,3.14,Low Value
489437,21989,PACK OF 20 SKULL PAPER NAPKINS,12,12/1/2009 9:08,0.85,15362,United Kingdom,10.2,2.04,0,2,613.08,443,13.25,2.96,Low Value
489437,84970S,HANGING HEART ZINC T-LIGHT HOLDER,12,12/1/2009 9:08,0.85,15362,United Kingdom,10.2,2.04,0,2,613.08,443,6.23,4.77,Low Value
489437,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,12/1/2009 9:08,1.25,15362,United Kingdom,15,3,0,2,613.08,443,10.4,2.81,Low Value
489437,22271,FELTCRAFT DOLL ROSIE,6,12/1/2009 9:08,2.95,15362,United Kingdom,17.7,3.54,0,2,613.08,443,10.93,3.53,Low Value
489437,22272,FELTCRAFT DOLL MARIA,6,12/1/2009 9:08,2.95,15362,United Kingdom,17.7,3.54,0,2,613.08,443,3.7,2.62,Low Value
489437,22274,FELTCRAFT DOLL EMILY,6,12/1/2009 9:08,2.95,15362,United Kingdom,17.7,3.54,0,2,613.08,443,19.39,3.67,Low Value
489437,21912,VINTAGE SNAKES & LADDERS,4,12/1/2009 9:08,3.75,15362,United Kingdom,15,3,0,2,613.08,443,15.5,3.42,Low Value
489437,22111,SCOTTIE DOG HOT WATER BOTTLE,3,12/1/2009 9:08,4.95,15362,United Kingdom,14.85,2.97,0,2,613.08,443,18.79,2.72,Low Value
489437,22112,CHOCOLATE HOT WATER BOTTLE,3,12/1/2009 9:08,4.95,15362,United Kingdom,14.85,2.97,0,2,613.08,443,17.9,3.39,Low Value
489438,21329,DINOSAURS  WRITING SET ,28,12/1/2009 9:24,0.98,18102,United Kingdom,27.44,5.488,0,150,586729.68,6,11.96,3.82,High Value
489438,21252,SET OF MEADOW  FLOWER STICKERS,30,12/1/2009 9:24,1.69,18102,United Kingdom,50.7,10.14,0,150,586729.68,6,18.44,2.08,High Value
489438,21100,CHARLIE AND LOLA CHARLOTTE BAG,30,12/1/2009 9:24,1.15,18102,United Kingdom,34.5,6.9,0,150,586729.68,6,1.77,4.14,High Value
489438,21033,JUMBO BAG CHARLIE AND LOLA TOYS,30,12/1/2009 9:24,2,18102,United Kingdom,60,12,0,150,586729.68,6,3.92,3.01,High Value
489438,20711,JUMBO BAG TOYS ,60,12/1/2009 9:24,1.3,18102,United Kingdom,78,15.6,0,150,586729.68,6,0.9,3.13,High Value
489438,21410,COUNTRY COTTAGE  DOORSTOP GREEN,32,12/1/2009 9:24,2.5,18102,United Kingdom,80,16,0,150,586729.68,6,6.51,2.29,High Value
489438,21411,GINGHAM HEART  DOORSTOP RED,32,12/1/2009 9:24,2.5,18102,United Kingdom,80,16,0,150,586729.68,6,7.77,3.84,High Value
489438,84031A,CHARLIE+LOLA RED HOT WATER BOTTLE ,56,12/1/2009 9:24,3,18102,United Kingdom,168,33.6,0,150,586729.68,6,5.43,2.11,High Value
489438,84031B,CHARLIE LOLA BLUE HOT WATER BOTTLE ,56,12/1/2009 9:24,3,18102,United Kingdom,168,33.6,0,150,586729.68,6,16.57,3.39,High Value
489438,84032A,CHARLIE+LOLA PINK HOT WATER BOTTLE,60,12/1/2009 9:24,1.9,18102,United Kingdom,114,22.8,0,150,586729.68,6,7.14,4.26,High Value
489438,84032B,CHARLIE + LOLA RED HOT WATER BOTTLE,56,12/1/2009 9:24,1.9,18102,United Kingdom,106.4,21.28,0,150,586729.68,6,5.62,5,High Value
489438,84519A,TOMATO CHARLIE+LOLA COASTER SET,56,12/1/2009 9:24,2.15,18102,United Kingdom,120.4,24.08,0,150,586729.68,6,10.85,2.59,High Value
489438,84519B,CARROT CHARLIE+LOLA COASTER SET,60,12/1/2009 9:24,2.4,18102,United Kingdom,144,28.8,0,150,586729.68,6,2.82,3.89,High Value
489438,85132A,CHARLIE + LOLA BISCUITS TINS,60,12/1/2009 9:24,6.38,18102,United Kingdom,382.8,76.56,0,150,586729.68,6,16.04,4.22,High Value
489438,85132C,CHARLIE AND LOLA FIGURES TINS,60,12/1/2009 9:24,6.4,18102,United Kingdom,384,76.8,0,150,586729.68,6,1.49,4.35,High Value
489438,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,60,12/1/2009 9:24,2.4,18102,United Kingdom,144,28.8,0,150,586729.68,6,19.74,4.68,High Value
489438,85183B,CHARLIE & LOLA WASTEPAPER BIN FLORA,60,12/1/2009 9:24,2.4,18102,United Kingdom,144,28.8,0,150,586729.68,6,15.44,3.27,High Value
489439,22065,CHRISTMAS PUDDING TRINKET POT ,12,12/1/2009 9:28,1.45,12682,France,17.4,3.48,0,52,23309.18,3,3.97,7.14,High Value
489439,22138,BAKING SET 9 PIECE RETROSPOT ,9,12/1/2009 9:28,4.95,12682,France,44.55,8.91,0,52,23309.18,3,0.11,10.48,High Value
489439,22139,RETRO SPOT TEA SET CERAMIC 11 PC ,9,12/1/2009 9:28,4.95,12682,France,44.55,8.91,0,52,23309.18,3,16.31,12.25,High Value
489439,22352,LUNCHBOX WITH CUTLERY RETROSPOT ,12,12/1/2009 9:28,2.55,12682,France,30.6,6.12,0,52,23309.18,3,14.14,10.59,High Value
489439,85014A,BLACK/BLUE DOTS RUFFLED UMBRELLA,3,12/1/2009 9:28,5.95,12682,France,17.85,3.57,0,52,23309.18,3,14.58,12.4,High Value
489439,85014B,RED/WHITE DOTS RUFFLED UMBRELLA,3,12/1/2009 9:28,5.95,12682,France,17.85,3.57,0,52,23309.18,3,15.43,11.48,High Value
489439,16161P,WRAP ENGLISH ROSE ,25,12/1/2009 9:28,0.42,12682,France,10.5,2.1,0,52,23309.18,3,1.48,5.38,High Value
489439,16169N,WRAP BLUE RUSSIAN FOLKART,25,12/1/2009 9:28,0.42,12682,France,10.5,2.1,0,52,23309.18,3,7.17,9.38,High Value
489439,21491,SET OF THREE VINTAGE GIFT WRAPS,6,12/1/2009 9:28,1.95,12682,France,11.7,2.34,0,52,23309.18,3,2.32,13.04,High Value
489439,22333,RETRO SPORT PARTY BAG + STICKER SET,8,12/1/2009 9:28,1.65,12682,France,13.2,2.64,0,52,23309.18,3,17.26,6.7,High Value
489439,85216,ASSORTED CAKES FRIDGE MAGNETS,12,12/1/2009 9:28,0.65,12682,France,7.8,1.56,0,52,23309.18,3,12.47,14.98,High Value
489439,21493, VINTAGE DESIGN GIFT TAGS,12,12/1/2009 9:28,0.85,12682,France,10.2,2.04,0,52,23309.18,3,6.62,7.16,High Value
489439,22130,PARTY CONE CHRISTMAS DECORATION ,24,12/1/2009 9:28,0.85,12682,France,20.4,4.08,0,52,23309.18,3,1.27,5.38,High Value
489439,22064,PINK DOUGHNUT TRINKET POT ,12,12/1/2009 9:28,1.65,12682,France,19.8,3.96,0,52,23309.18,3,6.22,9.98,High Value
489439,21731,RED TOADSTOOL LED NIGHT LIGHT,24,12/1/2009 9:28,1.65,12682,France,39.6,7.92,0,52,23309.18,3,6.5,10.69,High Value
489439,85232B,SET/3 RUSSIAN DOLL STACKING TINS,6,12/1/2009 9:28,4.95,12682,France,29.7,5.94,0,52,23309.18,3,14.59,11.95,High Value
489439,84691,PACK 20 DOLLY PEGS,12,12/1/2009 9:28,0.85,12682,France,10.2,2.04,0,52,23309.18,3,12.75,7.51,High Value
489439,20749,ASSORTED COLOUR MINI CASES,2,12/1/2009 9:28,7.95,12682,France,15.9,3.18,0,52,23309.18,3,17.74,9.59,High Value
489439,POST,POSTAGE,3,12/1/2009 9:28,18,12682,France,54,10.8,0,52,23309.18,3,9.44,6.3,High Value
489440,22350,CAT BOWL ,8,12/1/2009 9:43,2.55,18087,United Kingdom,20.4,4.08,0,21,14411.62,92,2.39,3.64,High Value
489440,22349,"DOG BOWL , CHASING BALL DESIGN",8,12/1/2009 9:43,3.75,18087,United Kingdom,30,6,0,21,14411.62,92,14.26,4.67,High Value
489441,22321,BIRD DECORATION RED SPOT,12,12/1/2009 9:44,0.72,18087,United Kingdom,8.64,1.728,0,21,14411.62,92,15.22,2.78,High Value
489441,22138,BAKING SET 9 PIECE RETROSPOT ,6,12/1/2009 9:44,4.25,18087,United Kingdom,25.5,5.1,0,21,14411.62,92,11.23,2.86,High Value
489441,84029E,RED WOOLLY HOTTIE WHITE HEART.,36,12/1/2009 9:44,2.95,18087,United Kingdom,106.2,21.24,0,21,14411.62,92,15.42,4.27,High Value
489441,22111,SCOTTIE DOG HOT WATER BOTTLE,48,12/1/2009 9:44,4.25,18087,United Kingdom,204,40.8,0,21,14411.62,92,9.88,4.4,High Value
489442,21955,UNION JACK GUNS & ROSES  DOORMAT,2,12/1/2009 9:46,6.75,13635,United Kingdom,13.5,2.7,0,6,2948.22,62,10.45,2.38,Mid Value
489442,22111,SCOTTIE DOG HOT WATER BOTTLE,3,12/1/2009 9:46,4.95,13635,United Kingdom,14.85,2.97,0,6,2948.22,62,8.55,3.33,Mid Value
489442,22296,HEART IVORY TRELLIS LARGE,12,12/1/2009 9:46,1.65,13635,United Kingdom,19.8,3.96,0,6,2948.22,62,0.51,2.97,Mid Value
489442,84899E,YELLOW + BROWN BEAR FELT PURSE KIT,12,12/1/2009 9:46,1.25,13635,United Kingdom,15,3,0,6,2948.22,62,2.16,2.04,Mid Value
489442,22271,FELTCRAFT DOLL ROSIE,6,12/1/2009 9:46,2.95,13635,United Kingdom,17.7,3.54,0,6,2948.22,62,0.63,4.83,Mid Value
489442,22272,FELTCRAFT DOLL MARIA,6,12/1/2009 9:46,2.95,13635,United Kingdom,17.7,3.54,0,6,2948.22,62,12.73,2.41,Mid Value
489442,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/1/2009 9:46,2.95,13635,United Kingdom,17.7,3.54,0,6,2948.22,62,6.29,2.75,Mid Value
489442,21582,KINGS CHOICE SMALL TUBE MATCHES,20,12/1/2009 9:46,1.65,13635,United Kingdom,33,6.6,0,6,2948.22,62,10.17,3.68,Mid Value
489442,21586,KINGS CHOICE GIANT TUBE MATCHES,12,12/1/2009 9:46,2.55,13635,United Kingdom,30.6,6.12,0,6,2948.22,62,18.15,4.05,Mid Value
489442,21590,KINGS CHOICE CIGAR BOX MATCHES ,48,12/1/2009 9:46,1.25,13635,United Kingdom,60,12,0,6,2948.22,62,4.99,2.77,Mid Value
489442,22091,EMPIRE TISSUE BOX,12,12/1/2009 9:46,1.25,13635,United Kingdom,15,3,0,6,2948.22,62,8.21,3.77,Mid Value
489442,84251J,"GREETING CARD, THE BLACK CAT",12,12/1/2009 9:46,0.42,13635,United Kingdom,5.04,1.008,0,6,2948.22,62,15.11,4.63,Mid Value
489442,22024,RAINY LADIES BIRTHDAY CARD,12,12/1/2009 9:46,0.42,13635,United Kingdom,5.04,1.008,0,6,2948.22,62,4.58,2.88,Mid Value
489442,22026,BANQUET BIRTHDAY  CARD  ,12,12/1/2009 9:46,0.42,13635,United Kingdom,5.04,1.008,0,6,2948.22,62,1.54,2,Mid Value
489442,22029,SPACE BOY BIRTHDAY CARD,12,12/1/2009 9:46,0.42,13635,United Kingdom,5.04,1.008,0,6,2948.22,62,5.8,4.08,Mid Value
489442,22025,RING OF ROSES BIRTHDAY CARD,12,12/1/2009 9:46,0.42,13635,United Kingdom,5.04,1.008,0,6,2948.22,62,3.22,2.95,Mid Value
489442,22031,BOTANICAL LAVENDER BIRTHDAY CARD,12,12/1/2009 9:46,0.42,13635,United Kingdom,5.04,1.008,0,6,2948.22,62,18.59,3.36,Mid Value
489442,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,12/1/2009 9:46,4.25,13635,United Kingdom,17,3.4,0,6,2948.22,62,16.16,3.55,Mid Value
489442,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,4,12/1/2009 9:46,3.75,13635,United Kingdom,15,3,0,6,2948.22,62,12.67,3.79,Mid Value
489442,21916,SET 12 RETRO WHITE CHALK STICKS,24,12/1/2009 9:46,0.42,13635,United Kingdom,10.08,2.016,0,6,2948.22,62,17.43,2.31,Mid Value
489442,21790,VINTAGE SNAP CARDS,12,12/1/2009 9:46,0.85,13635,United Kingdom,10.2,2.04,0,6,2948.22,62,16.07,2.76,Mid Value
489442,21888,BINGO SET,8,12/1/2009 9:46,3.75,13635,United Kingdom,30,6,0,6,2948.22,62,3.73,2.72,Mid Value
489442,85178,VICTORIAN SEWING KIT,12,12/1/2009 9:46,1.25,13635,United Kingdom,15,3,0,6,2948.22,62,17.85,3.52,Mid Value
489443,20754,RETRO RED SPOTTY WASHING UP GLOVES,6,12/1/2009 9:50,2.1,14110,United Kingdom,12.6,2.52,0,34,12632.16,16,10.79,3.59,High Value
489443,21035,SET/2 RED SPOTTY TEA TOWELS ,12,12/1/2009 9:50,2.95,14110,United Kingdom,35.4,7.08,0,34,12632.16,16,16.15,4.43,High Value
489443,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,12/1/2009 9:50,2.1,14110,United Kingdom,100.8,20.16,0,34,12632.16,16,17.92,4.93,High Value
489443,82001S,VINYL RECORD FRAME SILVER,24,12/1/2009 9:50,3.39,14110,United Kingdom,81.36,16.272,0,34,12632.16,16,6.36,3.12,High Value
489443,82580,BATHROOM METAL SIGN,12,12/1/2009 9:50,0.55,14110,United Kingdom,6.6,1.32,0,34,12632.16,16,2.2,4.92,High Value
489443,85150,LADIES & GENTLEMEN METAL SIGN,12,12/1/2009 9:50,2.55,14110,United Kingdom,30.6,6.12,0,34,12632.16,16,4.56,3.43,High Value
489443,21041,RED SPOTTY OVEN GLOVE DOUBLE,6,12/1/2009 9:50,2.95,14110,United Kingdom,17.7,3.54,0,34,12632.16,16,8.54,3.32,High Value
489444,POST,POSTAGE,1,12/1/2009 9:55,141,12636,USA,141,28.2,0,1,141,733,16.36,10.28,Low Value
489445,35916C,PINK FELT HANGING HEART W FLOWER,12,12/1/2009 9:57,0.85,17519,United Kingdom,10.2,2.04,0,17,5102.8,11,17.21,3.22,Mid Value
489445,35916B,BLUE FELT HANGING HEART W FLOWER,12,12/1/2009 9:57,0.85,17519,United Kingdom,10.2,2.04,0,17,5102.8,11,0.14,4.1,Mid Value
489445,22321,BIRD DECORATION RED SPOT,24,12/1/2009 9:57,0.85,17519,United Kingdom,20.4,4.08,0,17,5102.8,11,10.21,3.93,Mid Value
489445,22130,PARTY CONE CHRISTMAS DECORATION ,12,12/1/2009 9:57,0.85,17519,United Kingdom,10.2,2.04,0,17,5102.8,11,8.35,3.47,Mid Value
489445,22180,RETRO SPOT LAMP,2,12/1/2009 9:57,9.95,17519,United Kingdom,19.9,3.98,0,17,5102.8,11,4.44,2.11,Mid Value
489445,22128,PARTY CONES CANDY ASSORTED,12,12/1/2009 9:57,1.25,17519,United Kingdom,15,3,0,17,5102.8,11,2.4,3.91,Mid Value
489445,22163,HEART STRING MEMO HOLDER HANGING,6,12/1/2009 9:57,2.95,17519,United Kingdom,17.7,3.54,0,17,5102.8,11,6.75,3.93,Mid Value
489445,35951,FOLKART BAUBLE CHRISTMAS DECORATION,48,12/1/2009 9:57,0.38,17519,United Kingdom,18.24,3.648,0,17,5102.8,11,18.86,4.9,Mid Value
489445,22253,6 CROCHET STRAWBERRIES,12,12/1/2009 9:57,1.25,17519,United Kingdom,15,3,0,17,5102.8,11,6.46,3.96,Mid Value
489445,84988,SET OF 72 PINK HEART PAPER DOILIES,12,12/1/2009 9:57,1.45,17519,United Kingdom,17.4,3.48,0,17,5102.8,11,10.38,3.14,Mid Value
489445,22219,LOVEBIRD HANGING DECORATION WHITE ,24,12/1/2009 9:57,0.85,17519,United Kingdom,20.4,4.08,0,17,5102.8,11,14.06,4.7,Mid Value
489445,18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,6,12/1/2009 9:57,2.55,17519,United Kingdom,15.3,3.06,0,17,5102.8,11,7.27,3.34,Mid Value
489445,22138,BAKING SET 9 PIECE RETROSPOT ,3,12/1/2009 9:57,4.95,17519,United Kingdom,14.85,2.97,0,17,5102.8,11,19.44,4.22,Mid Value
489445,21299,EDWARDIAN TOILET ROLL UNIT ,1,12/1/2009 9:57,12.75,17519,United Kingdom,12.75,2.55,0,17,5102.8,11,19.25,2.63,Mid Value
489445,21099,SET/6 STRAWBERRY PAPER CUPS,24,12/1/2009 9:57,0.65,17519,United Kingdom,15.6,3.12,0,17,5102.8,11,5.04,3.52,Mid Value
489445,21085,SET/6 WOODLAND PAPER CUPS,24,12/1/2009 9:57,0.65,17519,United Kingdom,15.6,3.12,0,17,5102.8,11,9.94,2.26,Mid Value
489445,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,12/1/2009 9:57,1.95,17519,United Kingdom,19.5,3.9,0,17,5102.8,11,6.02,2.16,Mid Value
489445,22241,"GARLAND , WOODEN  "" HAPPY EASTER""",24,12/1/2009 9:57,1.25,17519,United Kingdom,30,6,0,17,5102.8,11,5.7,3.74,Mid Value
489445,21091,SET/6 WOODLAND PAPER PLATES,12,12/1/2009 9:57,0.85,17519,United Kingdom,10.2,2.04,0,17,5102.8,11,0.74,2.27,Mid Value
489446,21733,RED HANGING HEART T-LIGHT HOLDER,32,12/1/2009 10:06,2.55,13758,United Kingdom,81.6,16.32,0,19,9263.14,6,12.19,3.15,High Value
489446,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/1/2009 10:06,2.55,13758,United Kingdom,81.6,16.32,0,19,9263.14,6,10.05,2.31,High Value
489446,22178,VICTORIAN GLASS HANGING T-LIGHT,12,12/1/2009 10:06,1.25,13758,United Kingdom,15,3,0,19,9263.14,6,1.03,3.59,High Value
489446,22125,UNION JACK HOT WATER BOTTLE ,12,12/1/2009 10:06,5.95,13758,United Kingdom,71.4,14.28,0,19,9263.14,6,5.57,4.03,High Value
489446,21671,RED SPOT CERAMIC DRAWER KNOB,12,12/1/2009 10:06,1.25,13758,United Kingdom,15,3,0,19,9263.14,6,18.17,4.7,High Value
489446,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,12,12/1/2009 10:06,2.95,13758,United Kingdom,35.4,7.08,0,19,9263.14,6,4.79,2.19,High Value
489446,22111,SCOTTIE DOG HOT WATER BOTTLE,6,12/1/2009 10:06,4.95,13758,United Kingdom,29.7,5.94,0,19,9263.14,6,2.9,3.16,High Value
489446,22112,CHOCOLATE HOT WATER BOTTLE,12,12/1/2009 10:06,4.95,13758,United Kingdom,59.4,11.88,0,19,9263.14,6,9.79,3.32,High Value
489446,22294,HEART FILIGREE DOVE  SMALL,24,12/1/2009 10:06,1.25,13758,United Kingdom,30,6,0,19,9263.14,6,19.71,3.09,High Value
489446,22199,FRYING PAN RED POLKADOT ,4,12/1/2009 10:06,4.25,13758,United Kingdom,17,3.4,0,19,9263.14,6,4.84,3.19,High Value
489446,22083,PAPER CHAIN KIT RETRO SPOT,24,12/1/2009 10:06,2.95,13758,United Kingdom,70.8,14.16,0,19,9263.14,6,13.44,4.9,High Value
489446,22114,HOT WATER BOTTLE TEA AND SYMPATHY,12,12/1/2009 10:06,3.95,13758,United Kingdom,47.4,9.48,0,19,9263.14,6,15.23,4.99,High Value
489446,21485,RED SPOT HEART HOT WATER BOTTLE,12,12/1/2009 10:06,4.95,13758,United Kingdom,59.4,11.88,0,19,9263.14,6,4.75,2.28,High Value
489446,21928,JUMBO BAG SCANDINAVIAN PAISLEY,10,12/1/2009 10:06,1.95,13758,United Kingdom,19.5,3.9,0,19,9263.14,6,14.56,3.39,High Value
489446,21929,JUMBO BAG PINK VINTAGE PAISLEY,10,12/1/2009 10:06,1.95,13758,United Kingdom,19.5,3.9,0,19,9263.14,6,7.36,3.1,High Value
489446,85099B,JUMBO BAG RED WHITE SPOTTY ,20,12/1/2009 10:06,1.95,13758,United Kingdom,39,7.8,0,19,9263.14,6,12.65,4.72,High Value
489446,22356,"CHARLOTTE BAG , PINK/WHITE SPOTS",10,12/1/2009 10:06,0.85,13758,United Kingdom,8.5,1.7,0,19,9263.14,6,12.67,4.27,High Value
489446,20724,RED SPOTTY CHARLOTTE BAG,10,12/1/2009 10:06,0.85,13758,United Kingdom,8.5,1.7,0,19,9263.14,6,10.72,3.5,High Value
